"","ticker","open","close","adj_close","low","high","volume","date"
"85097","RRC",16.6599998474121,16.6599998474121,16.6599998474121,16.6399993896484,16.9500007629395,5149400,2018-08-24
"100496","AAPL",216.600006103516,216.160003662109,216.160003662109,215.110000610352,216.899993896484,18469900,2018-08-24
"239112","RJF",90.9400024414062,91.2399978637695,91.2399978637695,90.7300033569336,91.6999969482422,339200,2018-08-24
"253717","MHK",191.279998779297,190.410003662109,190.410003662109,190.119995117188,191.639999389648,706000,2018-08-24
"292356","PX",155.410003662109,156.210006713867,156.210006713867,154.520004272461,156.509994506836,695900,2018-08-24
"319651","SBUX",52.8199996948242,52.75,52.75,52.4199981689453,52.9199981689453,9849800,2018-08-24
"367181","PFE",42.4300003051758,42.4000015258789,42.4000015258789,42,42.4900016784668,20551900,2018-08-24
"480712","PFG",55.4599990844727,55.5099983215332,55.5099983215332,55.3899993896484,55.8199996948242,533000,2018-08-24
"523693","AIG",52.7700004577637,53.310001373291,53.310001373291,52.6199989318848,53.4199981689453,3017000,2018-08-24
"528657","CLX",145.630004882812,145.669998168945,145.669998168945,144.460006713867,146.169998168945,726700,2018-08-24
"613611","OMC",68.7699966430664,68.9700012207031,68.9700012207031,68.3399963378906,69.1600036621094,702200,2018-08-24
"686237","RSG",73.3300018310547,73.2200012207031,73.2200012207031,72.9800033569336,73.4800033569336,1584500,2018-08-24
"686936","CMA",99.1600036621094,98.629997253418,98.629997253418,98.4499969482422,99.3199996948242,1286700,2018-08-24
"703629","DXC",88.9300003051758,89.6399993896484,89.6399993896484,88.8300018310547,90.3899002075195,1564755,2018-08-24
"800830","RE",220.220001220703,220.850006103516,220.850006103516,220.220001220703,221.600006103516,155300,2018-08-24
"876700","AIV",43.4099998474121,43.7299995422363,43.7299995422363,43.4099998474121,43.7799987792969,974300,2018-08-24
"907827","RF",19.4400005340576,19.2600002288818,19.2600002288818,19.2199993133545,19.4500007629395,7958500,2018-08-24
"980268","ARE",126.389999389648,126.629997253418,126.629997253418,125.589996337891,126.970001220703,392800,2018-08-24
"999891","MKC",123.900001525879,124.26000213623,124.26000213623,123.23999786377,124.51000213623,312700,2018-08-24
"1005848","EBAY",34.560001373291,34.5299987792969,34.5299987792969,34.4599990844727,34.8800010681152,5411500,2018-08-24
"1032639","CME",168.029998779297,169.320007324219,169.320007324219,167.199996948242,169.460006713867,909000,2018-08-24
"1061067","RL",137.509994506836,136.699996948242,136.699996948242,136.089996337891,138.330001831055,731900,2018-08-24
"1082022","AIZ",104.120002746582,104.629997253418,104.629997253418,103.129997253418,104.800003051758,543800,2018-08-24
"1160861","VIAB",31.0499992370605,30.9799995422363,30.9799995422363,30.8099994659424,31.4599990844727,3054500,2018-08-24
"1161832","AJG",72,72.1500015258789,72.1500015258789,71.6600036621094,72.1900024414062,381600,2018-08-24
"1177250","ANDV",152.449996948242,155.259994506836,155.259994506836,152.320007324219,155.610000610352,1573900,2018-08-24
"1180687","CMG",520.539978027344,520.710021972656,520.710021972656,519.309997558594,522.789978027344,450200,2018-08-24
"1192059","HBAN",16.25,16.2099990844727,16.2099990844727,16.1100006103516,16.25,9928400,2018-08-24
"1243654","PBCT",18.8199996948242,18.6599998474121,18.6599998474121,18.6100006103516,18.8199996948242,1636400,2018-08-24
"1273390","PGR",66.8000030517578,66.9199981689453,66.9199981689453,66.4199981689453,66.9800033569336,2092900,2018-08-24
"1309439","CMI",138.529998779297,140.990005493164,140.990005493164,137.630004882812,141.190002441406,1265000,2018-08-24
"1360874","MLM",203.850006103516,205.770004272461,205.770004272461,203.190002441406,205.940002441406,378300,2018-08-24
"1409539","RTN",198.190002441406,200.080001831055,200.080001831055,198.070007324219,200.220001220703,964500,2018-08-24
"1412998","SBAC",154.589996337891,156.029998779297,156.029998779297,154.300003051758,156.25,488900,2018-08-24
"1466480","IPG",22.7099990844727,22.8799991607666,22.8799991607666,22.6299991607666,22.9300003051758,1955300,2018-08-24
"1467045","CTSH",75.4300003051758,75.8600006103516,75.8600006103516,75.0699996948242,76,2399000,2018-08-24
"1509345","ROST",92,95.0899963378906,95.0899963378906,91.3199996948242,97.8499984741211,7465300,2018-08-24
"1527781","AMAT",42.8400001525879,42.7299995422363,42.7299995422363,42.5200004577637,43.060001373291,8292500,2018-08-24
"1534664","KLAC",114.790000915527,115.440002441406,115.440002441406,114.330001831055,115.779998779297,853800,2018-08-24
"1567152","GWW",368.679992675781,365.149993896484,365.149993896484,362.709991455078,369.040008544922,351800,2018-08-24
"1582002","IDXX",246.710006713867,249.5,249.5,245.740005493164,251.300003051758,479700,2018-08-24
"1590531","XYL",75.3399963378906,75.5199966430664,75.5199966430664,74.9599990844727,75.5800018310547,617500,2018-08-24
"1600441","NTRS",108,107.550003051758,107.550003051758,107.069999694824,108,712300,2018-08-24
"1636828","MMC",83.6600036621094,84.1999969482422,84.1999969482422,83.3499984741211,84.2300033569336,1049800,2018-08-24
"1692154","CMS",49,49.3600006103516,49.3600006103516,48.8400001525879,49.4099998474121,1314100,2018-08-24
"1703796","RMD",108.300003051758,108.900001525879,108.900001525879,108.300003051758,109.230003356934,473900,2018-08-24
"1710793","ALGN",365.089996337891,367.600006103516,367.600006103516,363.269989013672,370.559997558594,614300,2018-08-24
"1790268","MMM",203.279998779297,205.289993286133,205.289993286133,203.070007324219,205.490005493164,1676600,2018-08-24
"1905940","SO",45.1699981689453,45.0299987792969,45.0299987792969,44.9300003051758,45.2200012207031,6664300,2018-08-24
"1919484","IQV",124.5,125.419998168945,125.419998168945,124.480003356934,126.330001831055,974900,2018-08-24
